model_key,seed,outcome,block_comparability,n_items,contrast,comparability,git_states,mean_diff_percent,ci_low_percent,ci_high_percent,n_discordant,p_exact,p_holm,significant_holm_0_05
olmo2_1_49b,43,runtime_object_parsed,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-40.15,-46.35,-34.31,118,4.783391878716367e-29,2.8700351272298202e-28,True
olmo2_1_49b,43,runtime_object_parsed,unknown_code_state,274,D-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-25.18,-30.66,-19.71,79,7.981384997696379e-17,3.1925539990785515e-16,True
olmo2_1_49b,43,strict_schema_valid,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,43,strict_schema_valid,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,43,strict_schema_valid,unknown_code_state,274,D-C,homogeneous,['e07022e2dafb'],0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,43,strict_schema_valid,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,43,strict_schema_valid,unknown_code_state,274,D-A,unknown_code_state,"['e07022e2dafb', 'unknown']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,43,encoding_object_recovered,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",-0.36,-5.11,4.38,41,1.0,1.0,False
olmo2_1_49b,43,encoding_object_recovered,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-7.3,-11.31,-3.65,30,0.0003249142318964005,0.0016245711594820025,True
olmo2_1_49b,43,encoding_object_recovered,unknown_code_state,274,D-C,homogeneous,['e07022e2dafb'],-0.36,-1.82,0.73,3,1.0,1.0,False
olmo2_1_49b,43,encoding_object_recovered,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-7.3,-11.31,-3.65,30,0.0003249142318964005,0.0016245711594820025,True
olmo2_1_49b,43,encoding_object_recovered,unknown_code_state,274,D-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-7.66,-11.31,-4.01,29,0.00010371580719947815,0.0006222948431968689,True
olmo2_1_49b,43,format_tolerant_chart_correct,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",12.77,5.47,20.07,109,0.0010329356216356765,0.002065871243271353,True
olmo2_1_49b,43,format_tolerant_chart_correct,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-25.91,-31.75,-20.07,81,2.2643223890053103e-17,6.792967167015931e-17,True
olmo2_1_49b,43,format_tolerant_chart_correct,unknown_code_state,274,D-C,homogeneous,['e07022e2dafb'],-0.73,-2.19,0.73,4,0.625,0.625,False
olmo2_1_49b,43,format_tolerant_chart_correct,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-39.42,-45.62,-33.21,116,1.786418468110741e-28,1.0718510808664446e-27,True
olmo2_1_49b,43,format_tolerant_chart_correct,unknown_code_state,274,D-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-26.64,-32.12,-21.17,79,2.72109334305444e-19,1.088437337221776e-18,True
olmo2_1_49b,43,text_level_chart_correct,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",-4.01,-7.66,-0.73,23,0.03468966484069824,0.03468966484069824,True
olmo2_1_49b,43,text_level_chart_correct,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",5.84,1.82,9.85,32,0.0070003666914999485,0.014000733382999897,True
olmo2_1_49b,43,text_level_chart_correct,unknown_code_state,274,D-C,homogeneous,['e07022e2dafb'],-36.5,-42.7,-29.93,118,5.85515720264212e-23,3.513094321585272e-22,True
olmo2_1_49b,43,text_level_chart_correct,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-26.64,-33.21,-20.07,107,3.5057799981190235e-13,1.4023119992476094e-12,True
olmo2_1_49b,43,text_level_chart_correct,unknown_code_state,274,D-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-30.66,-37.59,-23.72,122,3.7616493492859476e-15,1.8808246746429738e-14,True
olmo2_1_49b,44,top1_correct,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",18.25,12.77,23.72,70,8.004823399455647e-10,3.2019293597822587e-09,True
olmo2_1_49b,44,top1_correct,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-2.19,-5.47,1.09,20,0.26317596435546875,0.7895278930664062,False
olmo2_1_49b,44,top1_correct,unknown_code_state,274,D-C,mixed_code_state,"['449cd9ea9c62', 'e07022e2dafb']",0.0,-2.19,2.19,8,1.0,1.0,False
olmo2_1_49b,44,top1_correct,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', '449cd9ea9c62']",-20.44,-25.91,-15.33,66,2.6307135723296904e-13,1.5784281433978142e-12,True
olmo2_1_49b,44,top1_correct,unknown_code_state,274,D-A,unknown_code_state,"['449cd9ea9c62', 'unknown']",-2.19,-5.47,1.09,22,0.28627872467041016,0.7895278930664062,False
olmo2_1_49b,44,json_object_recovered,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",14.96,6.57,22.99,135,0.0005273346057409773,0.0010546692114819546,True
olmo2_1_49b,44,json_object_recovered,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-29.2,-35.04,-23.36,90,7.532842063484042e-20,3.013136825393617e-19,True
olmo2_1_49b,44,json_object_recovered,unknown_code_state,274,D-C,mixed_code_state,"['449cd9ea9c62', 'e07022e2dafb']",0.36,-1.82,2.55,9,1.0,1.0,False
olmo2_1_49b,44,json_object_recovered,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', '449cd9ea9c62']",-43.8,-50.0,-37.59,128,6.475582675466606e-32,3.8853496052799636e-31,True
olmo2_1_49b,44,json_object_recovered,unknown_code_state,274,D-A,unknown_code_state,"['449cd9ea9c62', 'unknown']",-28.83,-34.67,-22.63,93,2.078229307846884e-18,6.2346879235406514e-18,True
olmo2_1_49b,44,runtime_object_parsed,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",11.68,3.28,20.07,136,0.007623827173866308,0.015247654347732616,True
olmo2_1_49b,44,runtime_object_parsed,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-24.09,-29.56,-18.61,76,5.249233110119942e-16,2.099693244047977e-15,True
olmo2_1_49b,44,runtime_object_parsed,unknown_code_state,274,D-C,mixed_code_state,"['449cd9ea9c62', 'e07022e2dafb']",0.36,-1.82,2.55,9,1.0,1.0,False
olmo2_1_49b,44,runtime_object_parsed,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', '449cd9ea9c62']",-35.4,-41.61,-29.56,105,2.4520045187848927e-25,1.4712027112709356e-24,True
olmo2_1_49b,44,runtime_object_parsed,unknown_code_state,274,D-A,unknown_code_state,"['449cd9ea9c62', 'unknown']",-23.72,-29.56,-17.88,81,2.977302970952647e-14,8.93190891285794e-14,True
olmo2_1_49b,44,strict_schema_valid,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,44,strict_schema_valid,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,44,strict_schema_valid,unknown_code_state,274,D-C,mixed_code_state,"['449cd9ea9c62', 'e07022e2dafb']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,44,strict_schema_valid,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', '449cd9ea9c62']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,44,strict_schema_valid,unknown_code_state,274,D-A,unknown_code_state,"['449cd9ea9c62', 'unknown']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,44,encoding_object_recovered,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",-2.92,-7.66,1.82,46,0.3019956131896606,0.6039912263793212,False
olmo2_1_49b,44,encoding_object_recovered,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-9.12,-13.5,-5.11,37,4.12575900554657e-05,0.0002475455403327942,True
olmo2_1_49b,44,encoding_object_recovered,unknown_code_state,274,D-C,mixed_code_state,"['449cd9ea9c62', 'e07022e2dafb']",0.36,-1.82,2.55,9,1.0,1.0,False
olmo2_1_49b,44,encoding_object_recovered,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', '449cd9ea9c62']",-5.84,-9.85,-2.19,30,0.005222879350185395,0.015668638050556186,True
olmo2_1_49b,44,encoding_object_recovered,unknown_code_state,274,D-A,unknown_code_state,"['449cd9ea9c62', 'unknown']",-8.76,-13.14,-4.38,38,0.00011616700794547796,0.0005808350397273898,True
olmo2_1_49b,44,format_tolerant_chart_correct,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",10.22,2.19,18.25,124,0.014984618863332345,0.02996923772666469,True
olmo2_1_49b,44,format_tolerant_chart_correct,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-27.37,-33.21,-21.53,85,1.8057729139211306e-18,7.223091655684522e-18,True
olmo2_1_49b,44,format_tolerant_chart_correct,unknown_code_state,274,D-C,mixed_code_state,"['449cd9ea9c62', 'e07022e2dafb']",0.0,-2.19,2.19,8,1.0,1.0,False
olmo2_1_49b,44,format_tolerant_chart_correct,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', '449cd9ea9c62']",-37.59,-43.8,-31.75,111,4.789431089465355e-27,2.873658653679213e-26,True
olmo2_1_49b,44,format_tolerant_chart_correct,unknown_code_state,274,D-A,unknown_code_state,"['449cd9ea9c62', 'unknown']",-27.37,-33.21,-21.53,89,2.428370408743998e-17,7.285111226231994e-17,True
olmo2_1_49b,44,text_level_chart_correct,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",-0.36,-3.65,2.55,19,1.0,1.0,False
olmo2_1_49b,44,text_level_chart_correct,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",8.76,5.11,12.77,32,1.9301194697618484e-05,3.860238939523697e-05,True
olmo2_1_49b,44,text_level_chart_correct,unknown_code_state,274,D-C,mixed_code_state,"['449cd9ea9c62', 'e07022e2dafb']",-28.83,-34.67,-22.99,91,5.782725134355011e-19,3.469635080613007e-18,True
olmo2_1_49b,44,text_level_chart_correct,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', '449cd9ea9c62']",-19.71,-25.91,-13.5,82,1.1349339471612945e-09,5.6746697358064725e-09,True
olmo2_1_49b,44,text_level_chart_correct,unknown_code_state,274,D-A,unknown_code_state,"['449cd9ea9c62', 'unknown']",-20.07,-26.64,-13.5,93,7.72091844381201e-09,3.088367377524804e-08,True
qwen3_1_7b,42,top1_correct,unknown_code_state,274,B-A,unknown_code_state,['unknown'],0.73,-0.73,2.19,4,0.625,1.0,False
qwen3_1_7b,42,top1_correct,unknown_code_state,274,C-A,unknown_code_state,['unknown'],1.09,-0.36,2.92,5,0.375,1.0,False
qwen3_1_7b,42,top1_correct,unknown_code_state,274,D-C,unknown_code_state,['unknown'],-1.46,-2.92,-0.36,4,0.125,0.75,False
qwen3_1_7b,42,top1_correct,unknown_code_state,274,D-B,unknown_code_state,['unknown'],-1.09,-2.55,0.0,3,0.25,1.0,False
qwen3_1_7b,42,top1_correct,unknown_code_state,274,D-A,unknown_code_state,['unknown'],-0.36,-1.09,0.0,1,1.0,1.0,False
qwen3_1_7b,42,json_object_recovered,unknown_code_state,274,B-A,unknown_code_state,['unknown'],0.36,0.0,1.09,1,1.0,1.0,False
qwen3_1_7b,42,json_object_recovered,unknown_code_state,274,C-A,unknown_code_state,['unknown'],-2.19,-4.38,-0.36,8,0.0703125,0.2109375,False
qwen3_1_7b,42,json_object_recovered,unknown_code_state,274,D-C,unknown_code_state,['unknown'],-1.46,-4.38,1.46,18,0.480682373046875,0.96136474609375,False
qwen3_1_7b,42,json_object_recovered,unknown_code_state,274,D-B,unknown_code_state,['unknown'],-4.01,-6.57,-1.82,11,0.0009765625,0.005859375,True
qwen3_1_7b,42,json_object_recovered,unknown_code_state,274,D-A,unknown_code_state,['unknown'],-3.65,-6.2,-1.46,12,0.00634765625,0.03173828125,True
qwen3_1_7b,42,runtime_object_parsed,unknown_code_state,274,B-A,unknown_code_state,['unknown'],0.73,-0.73,2.19,4,0.625,1.0,False
qwen3_1_7b,42,runtime_object_parsed,unknown_code_state,274,C-A,unknown_code_state,['unknown'],1.09,-0.36,2.92,5,0.375,1.0,False
qwen3_1_7b,42,runtime_object_parsed,unknown_code_state,274,D-C,unknown_code_state,['unknown'],-1.46,-2.92,-0.36,4,0.125,0.75,False
qwen3_1_7b,42,runtime_object_parsed,unknown_code_state,274,D-B,unknown_code_state,['unknown'],-1.09,-2.55,0.0,3,0.25,1.0,False
qwen3_1_7b,42,runtime_object_parsed,unknown_code_state,274,D-A,unknown_code_state,['unknown'],-0.36,-1.09,0.0,1,1.0,1.0,False
qwen3_1_7b,42,strict_schema_valid,unknown_code_state,274,B-A,unknown_code_state,['unknown'],0.73,-0.73,2.19,4,0.625,1.0,False
qwen3_1_7b,42,strict_schema_valid,unknown_code_state,274,C-A,unknown_code_state,['unknown'],1.09,-0.36,2.92,5,0.375,1.0,False
qwen3_1_7b,42,strict_schema_valid,unknown_code_state,274,D-C,unknown_code_state,['unknown'],-1.46,-2.92,-0.36,4,0.125,0.75,False
qwen3_1_7b,42,strict_schema_valid,unknown_code_state,274,D-B,unknown_code_state,['unknown'],-1.09,-2.55,0.0,3,0.25,1.0,False
qwen3_1_7b,42,strict_schema_valid,unknown_code_state,274,D-A,unknown_code_state,['unknown'],-0.36,-1.09,0.0,1,1.0,1.0,False
qwen3_1_7b,42,encoding_object_recovered,unknown_code_state,274,B-A,unknown_code_state,['unknown'],0.73,-0.73,2.19,4,0.625,1.0,False
qwen3_1_7b,42,encoding_object_recovered,unknown_code_state,274,C-A,unknown_code_state,['unknown'],1.09,-0.36,2.92,5,0.375,1.0,False
qwen3_1_7b,42,encoding_object_recovered,unknown_code_state,274,D-C,unknown_code_state,['unknown'],-1.46,-2.92,-0.36,4,0.125,0.75,False
qwen3_1_7b,42,encoding_object_recovered,unknown_code_state,274,D-B,unknown_code_state,['unknown'],-1.09,-2.55,0.0,3,0.25,1.0,False
qwen3_1_7b,42,encoding_object_recovered,unknown_code_state,274,D-A,unknown_code_state,['unknown'],-0.36,-1.09,0.0,1,1.0,1.0,False
qwen3_1_7b,42,format_tolerant_chart_correct,unknown_code_state,274,B-A,unknown_code_state,['unknown'],4.01,1.09,6.93,17,0.012725830078125,0.0509033203125,False
qwen3_1_7b,42,format_tolerant_chart_correct,unknown_code_state,274,C-A,unknown_code_state,['unknown'],8.03,4.01,12.05,34,0.00019512558355927467,0.001170753501355648,True
qwen3_1_7b,42,format_tolerant_chart_correct,unknown_code_state,274,D-C,unknown_code_state,['unknown'],-5.47,-9.12,-1.82,29,0.008130058646202087,0.04065029323101044,True
qwen3_1_7b,42,format_tolerant_chart_correct,unknown_code_state,274,D-B,unknown_code_state,['unknown'],-1.46,-5.47,2.92,34,0.6075913612730801,0.783205821094981,False
qwen3_1_7b,42,format_tolerant_chart_correct,unknown_code_state,274,D-A,unknown_code_state,['unknown'],2.55,-2.55,7.66,49,0.3916029105474905,0.783205821094981,False
qwen3_1_7b,42,text_level_chart_correct,unknown_code_state,274,B-A,unknown_code_state,['unknown'],3.65,1.09,6.57,16,0.021270751953125,0.04254150390625,True
qwen3_1_7b,42,text_level_chart_correct,unknown_code_state,274,C-A,unknown_code_state,['unknown'],9.85,6.57,13.5,27,1.4901161193847656e-08,8.940696716308594e-08,True
qwen3_1_7b,42,text_level_chart_correct,unknown_code_state,274,D-C,unknown_code_state,['unknown'],-3.65,-6.2,-1.46,12,0.00634765625,0.025390625,True
qwen3_1_7b,42,text_level_chart_correct,unknown_code_state,274,D-B,unknown_code_state,['unknown'],2.55,-0.73,6.2,23,0.21003961563110352,0.21003961563110352,False
qwen3_1_7b,42,text_level_chart_correct,unknown_code_state,274,D-A,unknown_code_state,['unknown'],6.2,1.82,10.58,37,0.007632078602910042,0.025390625,True
qwen3_1_7b,43,top1_correct,unknown_code_state,274,B-A,unknown_code_state,['unknown'],1.09,0.0,2.55,3,0.25,0.25,False
qwen3_1_7b,43,top1_correct,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",80.66,75.91,85.04,221,5.934729841099874e-67,2.3738919364399497e-66,True
qwen3_1_7b,43,top1_correct,unknown_code_state,274,D-C,mixed_code_state,"['449cd9ea9c62', 'e07022e2dafb']",8.76,3.65,13.87,52,0.0011951203200073481,0.0023902406400146963,True
qwen3_1_7b,43,top1_correct,unknown_code_state,274,D-B,unknown_code_state,"['449cd9ea9c62', 'unknown']",88.32,84.31,91.97,242,2.8298997121333476e-73,1.4149498560666738e-72,True
qwen3_1_7b,43,top1_correct,unknown_code_state,274,D-A,unknown_code_state,"['449cd9ea9c62', 'unknown']",89.42,85.77,93.07,245,3.5373746401666845e-74,2.1224247841000107e-73,True
qwen3_1_7b,43,json_object_recovered,unknown_code_state,274,B-A,unknown_code_state,['unknown'],-0.36,-1.09,0.0,1,1.0,1.0,False
qwen3_1_7b,43,json_object_recovered,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-16.06,-20.44,-11.68,44,1.1368683772161603e-13,6.821210263296962e-13,True
qwen3_1_7b,43,json_object_recovered,unknown_code_state,274,D-C,mixed_code_state,"['449cd9ea9c62', 'e07022e2dafb']",14.6,10.22,18.98,44,1.1266365618212149e-10,4.5065462472848594e-10,True
qwen3_1_7b,43,json_object_recovered,unknown_code_state,274,D-B,unknown_code_state,"['449cd9ea9c62', 'unknown']",-1.09,-2.92,0.36,5,0.375,0.75,False
qwen3_1_7b,43,json_object_recovered,unknown_code_state,274,D-A,unknown_code_state,"['449cd9ea9c62', 'unknown']",-1.46,-2.92,-0.36,4,0.125,0.375,False
qwen3_1_7b,43,runtime_object_parsed,unknown_code_state,274,B-A,unknown_code_state,['unknown'],1.46,0.36,2.92,4,0.125,0.125,False
