item_id,split,chart_type,task_type,kpi,encoding_x,encoding_y,users,context_summary,layout,styling,interactions,rationales,automatic_validation_status,automatic_reason_codes,automatic_validation_details,reviewer_id,users_ok,context_summary_ok,layout_ok,styling_ok,interactions_ok,rationales_ok,invented_content_found,immutable_violation_found,overall_accept,notes,goal_fidelity,raw_columns_correct,kpi_correct,chart_appropriate,encoding_correct,constraints_preserved,source_fidelity,design_validity,accept,error_category,review_comment
nvbench:2308@x_name@DESC:query:0,train,bar,comparison,Num_of_Component,Name,Num_of_Component,Manufacturing analyst comparing component counts across furniture names.,"{""db_id"": ""manufacturer"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""furniture with more than 10 components"", ""task"": ""comparison""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""Num_of_Component"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""ordered categories""}","[{""type"": ""tooltip"", ""fields"": [""Name"", ""Num_of_Component""]}, {""type"": ""sort"", ""fields"": [""Num_of_Component""]}]","[{""claim"": ""The selected bar chart supports comparison of Num_of_Component across Name categories."", ""principle"": ""Position on a common scale (Cleveland & McGill)""}, {""claim"": ""The filter Num_of_Component > 10 focuses the comparison on furniture with many components."", ""principle"": ""Focus on relevant data (Shneiderman's mantra)""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Bar chart comparing raw Num_of_Component values across furniture Name with a >10 filter is a valid comparison; the measure is a genuine numeric column, not a mislabeled identifier."
nvbench:402:query:0,train,pie,part_to_whole,count(*),Sex,count(*),Demographic analyst examining gender distribution among individuals with weight over 85.,"{""db_id"": ""candidate_poll"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""people with weight > 85 grouped by sex"", ""chart_purpose"": ""part-to-whole comparison""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""count(*)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""proportional shares""}","[{""type"": ""tooltip"", ""fields"": [""Sex"", ""count(*)""]}, {""type"": ""legend_toggle"", ""fields"": [""Sex""]}]","[{""claim"": ""The selected chart supports the part-to-whole task by displaying count(*) across Sex."", ""principle"": ""Pie charts encode proportions via angle, facilitating part-to-whole comparisons (Cleveland & McGill)""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Pie of count(*) across the binary Sex field (weight>85 filter) is an ideal low-cardinality, additive part-to-whole example."
nvbench:774@x_name@DESC:query:1,train,line,trend,COUNT(Date_in_Locaton_To),Date_in_Locaton_To,COUNT(Date_in_Locaton_To),Document analyst tracking yearly document counts.,"{""db_id"": ""cre_Doc_Tracking_DB"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""documents grouped by year"", ""time_grain"": ""YEAR"", ""task_type"": ""trend""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(Date_in_Locaton_To)"", ""chart"": ""the selected chart""}]}","{""theme"": ""clean"", ""emphasis"": ""temporal trend""}","[{""type"": ""tooltip"", ""fields"": [""Date_in_Locaton_To"", ""COUNT(Date_in_Locaton_To)""]}, {""type"": ""sort"", ""fields"": [""COUNT(Date_in_Locaton_To)""]}, {""type"": ""time_range_select"", ""fields"": [""Date_in_Locaton_To""]}]","[{""claim"": ""The selected line chart effectively shows the trend of COUNT(Date_in_Locaton_To) over yearly bins of Date_in_Locaton_To."", ""principle"": ""Line charts leverage position along a common scale to convey temporal patterns (Cleveland & McGill).""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"The 'sort' entry is a user-triggered UI interaction, not the default rendering order; the default trend line still runs along the temporal x-axis with an explicit YEAR time grain, so the core encoding is intact."
nvbench:2946@y_name@DESC:query:0,train,stacked_bar,composition,COUNT(Year),Year,COUNT(Year),Gallery analyst comparing the count of years per theme.,"{""db_id"": ""theme_gallery"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""themes grouped by year count"", ""sort_order"": ""descending by COUNT(Year)""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(Year)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""descending order of COUNT(Year)""}","[{""type"": ""tooltip"", ""fields"": [""Theme"", ""Year"", ""COUNT(Year)""]}, {""type"": ""sort"", ""fields"": [""COUNT(Year)""]}, {""type"": ""filter"", ""fields"": [""Theme""]}, {""type"": ""legend_toggle"", ""fields"": [""Theme""]}]","[{""claim"": ""The selected chart (stacked bar) encodes COUNT(Year) on the y-axis and Theme as color, supporting the composition task by showing how each theme contributes to the total count of years."", ""principle"": ""Stacked bars effectively communicate part-to-whole relationships (Cleveland & McGill).""}, {""claim"": ""The descending sort by COUNT(Year) facilitates comparison of theme popularity."", ""principle"": ""Ordering categories by value improves readability (Cleveland & McGill).""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,x=Year with Theme as the stacked series is a defensible way to show 'count of years per theme' as a composition-over-time breakdown; it does not contradict the stated analytical goal.
nvbench:3205:query:3,train,scatter,correlation,count(*),Advisor,count(*),Data analyst investigating correlation between advisor and student count.,"{""db_id"": ""voter_2"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""advisor and student count""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""count(*)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""correlation between variables""}","[{""type"": ""tooltip"", ""fields"": [""Advisor"", ""count(*)""]}, {""type"": ""sort"", ""fields"": [""count(*)""]}, {""type"": ""zoom"", ""fields"": [""Advisor"", ""count(*)""]}, {""type"": ""brush"", ""fields"": [""Advisor"", ""count(*)""]}]","[{""claim"": ""The selected scatter plot supports correlation analysis between Advisor and count(*)."", ""principle"": ""Scatter plots are effective for revealing relationships between two quantitative variables (Cleveland & McGill).""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Scatter plots Advisor (a categorical/identifier field) against count(*); Advisor is not a meaningful quantitative variable, so a scatter 'correlation' between an ID and a count is not statistically valid — a bar chart would be the appropriate choice."
nvbench:1392@x_name@ASC:query:0,val,bar,comparison,COUNT(Type),Type,COUNT(Type),Film analyst comparing counts of films per type.,"{""db_id"": ""film_rank"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""films grouped by type"", ""task_type"": ""comparison""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(Type)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""sorted ascending by Type""}","[{""type"": ""tooltip"", ""fields"": [""Type"", ""COUNT(Type)""]}, {""type"": ""sort"", ""fields"": [""COUNT(Type)""]}]","[{""claim"": ""The selected chart supports comparison of COUNT(Type) across Type categories."", ""principle"": ""Position on a common scale (Cleveland & McGill)""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Bar chart of COUNT(Type) across film Type categories is a standard, well-formed comparison example."
nvbench:3142:query:4,val,pie,part_to_whole,All_Games_Percent,All_Road,All_Games_Percent,Analyst examining the proportion of All_Games_Percent across All_Road categories.,"{""db_id"": ""university_basketball"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""All_Road categories"", ""measure"": ""All_Games_Percent""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""All_Games_Percent"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""proportional slices""}","[{""type"": ""tooltip"", ""fields"": [""All_Road"", ""All_Games_Percent""]}, {""type"": ""legend_toggle"", ""fields"": [""All_Road""]}]","[{""claim"": ""The selected chart (pie) supports part-to-whole comparison of All_Games_Percent across All_Road categories."", ""principle"": ""Pie charts encode proportions by angle, effectively showing part-to-whole relationships (Cleveland & McGill).""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Pie chart encodes All_Games_Percent, a pre-computed percentage/ratio field, across All_Road categories; percentages of this kind are not additive across categories and cannot be meaningfully summed into a whole, violating the pie chart's part-to-whole requirement (COUNT/SUM only)."
nvbench:1388@x_name@ASC:query:3,val,line,trend,COUNT(Year),Year,COUNT(Year),Farm analyst tracking number of competitions per year.,"{""db_id"": ""farm"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""competitions per year"", ""time_grain"": ""YEAR""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(Year)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""temporal trend""}","[{""type"": ""tooltip"", ""fields"": [""Year"", ""COUNT(Year)""]}, {""type"": ""zoom"", ""fields"": [""Year""]}, {""type"": ""brush"", ""fields"": [""Year"", ""COUNT(Year)""]}, {""type"": ""hover_highlight"", ""fields"": [""Year"", ""COUNT(Year)""]}]","[{""claim"": ""The selected chart supports trend analysis of COUNT(Year) over Year."", ""principle"": ""Position on a common scale is effective for temporal trends (Cleveland & McGill).""}, {""claim"": ""The ascending sort of Year aligns with natural temporal order, aiding interpretation."", ""principle"": ""Ordered data along a temporal axis follows the principle of natural ordering.""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,Line chart of COUNT(Year) with an explicit YEAR time grain and ascending temporal sort is a textbook valid trend example.
nvbench:2828@x_name@ASC:query:1,val,stacked_bar,composition,COUNT(services),services,COUNT(services),Analyst examining composition of services across local authorities.,"{""db_id"": ""station_weather"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""services grouped by local_authority"", ""task_type"": ""composition""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(services)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""stacked segments""}","[{""type"": ""tooltip"", ""fields"": [""services"", ""local_authority"", ""COUNT(services)""]}, {""type"": ""sort"", ""fields"": [""services""]}, {""type"": ""legend_toggle"", ""fields"": [""local_authority""]}]","[{""claim"": ""The selected chart (stacked bar) supports the composition task by showing the breakdown of COUNT(services) across local_authority for each service."", ""principle"": ""Stacked bars facilitate part-to-whole comparisons (Cleveland & McGill).""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Stacked bar of COUNT(services) by services, grouped/colored by local_authority, is additive and preserves the composition grouping in encoding and interactions."
nvbench:51:query:2,train,scatter,correlation,count(*),Advisor,count(*),University administrator examining correlation between advisor ID and student count.,"{""db_id"": ""allergy_1"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""Advisor and count(*)"", ""visual_grouping"": ""advisor""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""count(*)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""correlation pattern""}","[{""type"": ""tooltip"", ""fields"": [""Advisor"", ""count(*)""]}, {""type"": ""zoom"", ""fields"": [""Advisor"", ""count(*)""]}, {""type"": ""brush"", ""fields"": [""Advisor"", ""count(*)""]}, {""type"": ""hover_highlight"", ""fields"": [""Advisor"", ""count(*)""]}]","[{""claim"": ""The selected scatter chart supports correlation analysis between Advisor and count(*)."", ""principle"": ""Scatter plots reveal relationships between two quantitative variables (Cleveland & McGill).""}, {""claim"": ""Encoding Advisor on x-axis and count(*) on y-axis leverages position along common scales."", ""principle"": ""Position on a common scale is the most accurate visual channel for quantitative comparison (Cleveland & McGill).""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Same structural flaw as the other Advisor-based scatter record: Advisor is a categorical identifier, not a continuous quantitative variable, so plotting it against count(*) on a scatter axis is not a valid correlation analysis."
nvbench:2581@y_name@DESC:query:1,train,bar,comparison,COUNT(Name),Name,COUNT(Name),Product analyst comparing counts of phone names.,"{""db_id"": ""phone_market"", ""n_kpis"": 1, ""source"": ""nvbench"", ""dimension"": ""Name"", ""measure"": ""COUNT(Name)""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(Name)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""descending order""}","[{""type"": ""tooltip"", ""fields"": [""Name"", ""COUNT(Name)""]}, {""type"": ""sort"", ""fields"": [""COUNT(Name)""]}]","[{""claim"": ""The selected bar chart supports comparison of COUNT(Name) across Name categories."", ""principle"": ""Position on a common scale (Cleveland & McGill)""}, {""claim"": ""The descending sort of bars aids in identifying top phone names."", ""principle"": ""Ordering by value reduces cognitive load (Tufte)""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Bar chart of COUNT(Name) across phone Name categories with descending sort is a valid, clearly ranked comparison example."
